	Words Popularity in CS	Purity in CS	Raw number: CS and keyword	Arxiv Pop	Arxiv Pur	Arxiv Single Word Count	label
"  by
"	1.0564516129032258	0.00629887054735013	150016129	0.6032894736842105	0.27956204379562044	3070000.0	0
"  c'mon
"	0.0005258064516129032	0.003822085889570552	74664	5.2631578947368424e-05	0.13961605584642234	749.0	0
"  c's
"	0.0019758064516129034	0.015844155844155845	280564	0.0008421052631578948	0.23478260869565218	5790.0	0
"  came
"	0.29193548387096774	0.0321025641025641	41454838	0.0047302631578947365	0.12674772036474163	59000.0	0
"  can
"	1.0241935483870968	0.01419284940411701	145435483	0.12960526315789472	0.07111111111111111	2850000.0	0
"  can't
"	0.4032258064516129	0.03253164556962025	57258064	0.0033486842105263158	0.188671875	21000.0	0
"  cannot
"	0.7233870967741935	0.06834710743801653	102720967	0.05730263157894737	0.03178832116788321	1830000.0	0
"  cant
"	0.028548387096774194	0.013964912280701755	4053870	0.0023486842105263158	0.0739247311827957	29300.0	0
"  cause
"	0.5145161290322581	0.07358722358722358	73061290	0.020986842105263158	0.06875	443000.0	0
"  causes
"	0.3032258064516129	0.1118421052631579	43058064	0.015197368421052631	0.10277777777777777	179000.0	0
"  certain
"	0.7612903225806451	0.1223529411764706	108103225	0.05763157894736842	0.02976271186440678	2550000.0	0
"  certainly
"	0.1879032258064516	0.06802325581395349	26682258	0.009078947368421053	0.08846153846153847	157000.0	0
"  changes
"	0.9435483870967742	0.12641083521444696	133983870	0.03901315789473684	0.020805860805860808	1900000.0	0
"  clearly
"	0.45161290322580644	0.17302052785923755	64129032	0.04256578947368421	0.023088235294117646	2400000.0	0
"  co
"	0.9354838709677419	0.01489607390300231	132838709	0.03782894736842105	0.020985401459854013	2570000.0	0
"  com
"	1.0	0.0025109970674486804	142000000	0.07697368421052632	0.0360128617363344	2870000.0	0
"  come
"	0.7758064516129032	0.03561151079136691	110164516	0.02394736842105263	0.02128654970760234	1310000.0	0
"  comes
"	0.6225806451612903	0.05709923664122137	88406451	0.030789473684210526	0.03476510067114094	1910000.0	0
"  concerning
"	0.2161290322580645	0.14597156398104266	30690322	0.014671052631578948	0.0921875	226000.0	0
"  consequently
"	0.20887096774193548	0.2874859075535513	29659677	0.02519736842105263	0.02979591836734694	1570000.0	0
"  consider
"	0.7943548387096774	0.1353731343283582	112798387	0.07894736842105263	0.04212218649517685	3090000.0	0
"  considering
"	0.38387096774193546	0.18445945945945946	54509677	0.04447368421052632	0.025571955719557195	2330000.0	0
"  contain
"	0.36935483870967745	0.02074561403508772	52448387	0.0419078947368421	0.031796116504854366	1840000.0	0
"  containing
"	0.3153225806451613	0.14113475177304965	44775806	0.045657894736842106	0.03943181818181818	1970000.0	0
"  contains
"	0.532258064516129	0.08974700399467377	75580645	0.06375	0.037792207792207794	3080000.0	0
"  corresponding
"	0.4435483870967742	0.316243654822335	62983870	0.07105263157894737	0.041401273885350316	2890000.0	0
"  could
"	0.9354838709677419	0.05076923076923077	132838709	0.06335526315789473	0.038148148148148146	2720000.0	0
"  couldn't
"	0.06911290322580645	0.017610993657505285	9814032	0.0006	0.2140845070422535	4080.0	0
"  course
"	1.2661290322580645	0.09788732394366197	179790322	0.03236842105263158	0.03028169014084507	1270000.0	0
"  currently
"	1.1370967741935485	0.06984126984126984	161467741	0.03368421052631579	0.14840579710144927	353000.0	0
